"TOA5","21490","CR1000X","21490","CR1000X.Std.04.02","CPU:CR1000X_HMP_155_je.CR1X","35026","SlowResponse"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C","RH","AirTC_Avg"
"TS","RN","Volts","Deg C","%","Deg C"
"","","Min","Smp","Smp","Avg"
"2022-01-18 17:32:00",0,12.73,23.79,36.85,23.34
"2022-01-18 17:33:00",1,12.73,23.81,36.95,23.37
"2022-01-18 17:34:00",2,12.73,23.83,36.85,23.31
"2022-01-18 17:35:00",3,12.73,23.85,36.92,23.36
"2022-01-18 17:36:00",4,12.73,23.87,22.64,23.36
"2022-01-18 17:37:00",5,12.73,23.88,30.91,23.8
"2022-01-18 17:38:00",6,12.73,23.89,22.89,24.05
"2022-01-18 17:39:00",7,12.73,23.91,21.06,23.97
"2022-01-18 17:40:00",8,12.73,23.92,20.94,23.85
"2022-01-18 17:41:00",9,12.73,23.93,21.01,23.72
"2022-01-18 17:42:00",10,12.73,23.94,21.04,23.53
"2022-01-18 17:43:00",11,12.73,23.95,21.06,23.45
"2022-01-18 17:44:00",12,12.73,23.96,25.82,23.4
"2022-01-18 17:45:00",13,12.73,23.97,26.82,23.96
"2022-01-18 17:46:00",14,12.73,23.97,-3.588,0.668
"2022-01-18 18:29:00",15,12.78,20.81,29.07,13.8
"2022-01-18 18:30:00",16,12.77,20.25,29.82,13.51
"2022-01-18 18:31:00",17,12.77,19.75,30.68,13.2
"2022-01-18 18:32:00",18,12.78,19.31,31.82,12.69
"2022-01-18 18:33:00",19,12.78,18.91,32.77,12.1
"2022-01-18 18:34:00",20,12.77,18.58,33.57,11.77
"2022-01-18 18:35:00",21,12.78,18.3,33.68,11.53
"2022-01-18 18:36:00",22,12.78,18.05,34.52,11.26
"2022-01-18 18:37:00",23,12.77,17.82,35.63,10.88
"2022-01-18 18:38:00",24,12.78,17.6,36.84,10.4
"2022-01-18 18:39:00",25,12.78,17.38,37.58,9.9
"2022-01-18 18:40:00",26,12.78,17.16,38.75,9.45
"2022-01-18 18:41:00",27,12.77,16.93,39.79,9.1
"2022-01-18 18:42:00",28,12.77,16.7,40.76,8.78
"2022-01-18 18:43:00",29,12.77,16.47,41.12,8.51
"2022-01-18 18:44:00",30,12.77,16.23,41.56,8.4
"2022-01-18 18:45:00",31,12.77,15.99,41.83,8.36
"2022-01-18 18:46:00",32,12.77,15.75,42.24,8.23
"2022-01-18 18:47:00",33,12.77,15.51,43.09,8.07
"2022-01-18 18:48:00",34,12.77,15.26,43.28,7.907
"2022-01-18 18:49:00",35,12.77,15.02,43.62,7.838
"2022-01-18 18:50:00",36,12.77,14.78,43.32,7.897
"2022-01-18 18:51:00",37,12.77,14.53,42.98,7.955
"2022-01-18 18:52:00",38,12.76,14.29,42.9,8.12
"2022-01-18 18:53:00",39,12.77,14.06,43.02,8.06
"2022-01-18 18:54:00",40,12.77,13.82,43.57,7.946
"2022-01-18 18:55:00",41,12.77,13.59,44.21,7.827
"2022-01-18 18:56:00",42,12.77,13.36,44.51,7.551
"2022-01-18 18:57:00",43,12.77,13.13,45.13,7.438
"2022-01-18 18:58:00",44,12.77,12.91,45.53,7.255
"2022-01-18 18:59:00",45,12.77,12.69,45.92,7.061
"2022-01-18 19:00:00",46,12.77,12.47,46.31,6.977
"2022-01-18 19:01:00",47,12.77,12.25,46.7,6.817
"2022-01-18 19:02:00",48,12.77,12.04,47.24,6.741
"2022-01-18 19:03:00",49,12.76,11.82,47.18,6.643
"2022-01-18 19:04:00",50,12.77,11.62,47.47,6.692
"2022-01-18 19:05:00",51,12.77,11.41,47.77,6.536
"2022-01-18 19:06:00",52,12.77,11.21,47.6,6.578
"2022-01-18 19:07:00",53,12.77,11.02,47.09,6.762
"2022-01-18 19:08:00",54,12.77,10.83,47.16,6.805
"2022-01-18 19:09:00",55,12.77,10.64,47.29,6.798
"2022-01-18 19:10:00",56,12.77,10.46,47.43,6.74
"2022-01-18 19:11:00",57,12.77,10.29,47.45,6.695
"2022-01-18 19:12:00",58,12.77,10.11,47.49,6.674
"2022-01-18 19:13:00",59,12.76,9.95,47.37,6.684
"2022-01-18 19:14:00",60,12.77,9.78,47.25,6.71
"2022-01-18 19:15:00",61,12.77,9.63,47.31,6.732
"2022-01-18 19:16:00",62,12.77,9.47,47.35,6.666
"2022-01-18 19:17:00",63,12.77,9.32,47.54,6.645
"2022-01-18 19:18:00",64,12.77,9.17,47.6,6.623
