"TOA5","21494","CR1000X","21494","CR1000X.Std.04.02","CPU:220125_Lab2_HMP155A_ATMOS22.CR1X","1750","SlowResponse"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C","AirTC_Avg","RH","windSpeed","windDirection","gustWindSpeed","AirTemp"
"TS","RN","Volts","Deg C","Deg C","%","m/s","deg","m/s","degC"
"","","Min","Smp","Avg","Smp","Smp","Smp","Smp","Smp"
"2022-01-25 17:05:00",10,12.72,22.43,22.92,38.57,0.27,347.1,0.27,22.4
"2022-01-25 17:06:00",11,12.72,22.45,22.9,38.57,0.08,80.2,0.08,25
"2022-01-25 17:07:00",12,12.71,22.47,22.87,38.63,0.07,157.9,0.07,23
"2022-01-25 17:08:00",13,12.71,22.49,22.84,38.55,0.06,125.1,0.06,22.8
"2022-01-25 17:39:00",14,12.68,10.43,4.523,36.79,0.48,193.7,0.48,8
"2022-01-25 17:40:00",15,12.67,10.28,4.522,36.87,0.54,185.6,0.54,7.1
"2022-01-25 17:41:00",16,12.67,10.12,4.52,36.89,0.26,313.2,0.26,7.5
"2022-01-25 17:42:00",17,12.67,9.92,4.527,36.82,0.37,192.3,0.37,6.9
"2022-01-25 17:43:00",18,12.66,9.7,4.518,36.93,0.48,1.8,0.48,6.9
"2022-01-25 17:44:00",19,12.66,9.51,4.525,36.94,1.37,248.3,1.37,6.1
"2022-01-25 17:45:00",20,12.67,9.34,4.511,36.94,0.94,242.1,0.94,6.4
"2022-01-25 17:46:00",21,12.66,9.19,4.477,36.97,0.18,301.4,0.18,6.8
"2022-01-25 17:47:00",22,12.66,9.06,4.448,37.06,0.32,177.9,0.32,5.8
"2022-01-25 17:48:00",23,12.66,8.92,4.432,37.05,0.39,152.1,0.39,6.3
"2022-01-25 17:49:00",24,12.66,8.78,4.393,37.07,1.25,166.2,1.25,5.7
"2022-01-25 17:50:00",25,12.66,8.64,4.374,37.1,0.88,308.5,0.88,6.1
"2022-01-25 17:51:00",26,12.66,8.5,4.344,37.14,0.31,105.6,0.31,5.6
"2022-01-25 17:52:00",27,12.66,8.36,4.298,37.11,0.41,274.6,0.41,5.7
"2022-01-25 17:53:00",28,12.66,8.22,4.242,37.18,1.24,83.2,1.24,5.3
"2022-01-25 17:54:00",29,12.66,8.08,4.2,37.2,0.06,256.5,0.06,5.4
"2022-01-25 17:55:00",30,12.66,7.937,4.167,37.28,0.49,80.8,0.49,5.4
"2022-01-25 17:56:00",31,12.66,7.795,4.113,37.25,0.31,91.2,0.31,5.2
"2022-01-25 17:57:00",32,12.65,7.653,4.064,37.3,0.68,310.3,0.68,5.1
"2022-01-25 17:58:00",33,12.66,7.512,4.017,37.33,0.47,248.2,0.47,5
"2022-01-25 17:59:00",34,12.65,7.372,3.969,37.33,0.09,63.1,0.09,5
"2022-01-25 18:00:00",35,12.65,7.233,3.909,37.37,0.73,161.7,0.73,4.7
"2022-01-25 18:01:00",36,12.66,7.094,3.86,37.36,0.87,33.8,0.87,4.7
"2022-01-25 18:02:00",37,12.65,6.955,3.803,37.44,1,213.6,1,4.9
"2022-01-25 18:03:00",38,12.65,6.818,3.791,37.49,0.24,301.5,0.24,4.7
"2022-01-25 18:04:00",39,12.65,6.681,3.739,37.48,0.93,290.2,0.93,4.5
"2022-01-25 18:05:00",40,12.65,6.547,3.749,37.46,0.33,66.4,0.33,4.3
"2022-01-25 18:06:00",41,12.65,6.415,3.715,37.5,0.59,332.8,0.59,4.2
"2022-01-25 18:07:00",42,12.65,6.285,3.693,37.5,0.53,214.8,0.53,4.2
"2022-01-25 18:08:00",43,12.65,6.157,3.65,37.5,0.53,4.5,0.53,4.2
"2022-01-25 18:09:00",44,12.65,6.03,3.606,37.49,0.61,315,0.61,4.2
"2022-01-25 18:10:00",45,12.65,5.904,3.564,37.52,0.22,242,0.22,4.1
"2022-01-25 18:11:00",46,12.65,5.779,3.514,37.6,1.16,247.4,1.16,4
"2022-01-25 18:12:00",47,12.65,5.657,3.475,37.49,0.85,21.9,0.85,3.8
"2022-01-25 18:13:00",48,12.65,5.536,3.431,37.44,0.79,162.1,0.79,3.7
"2022-01-25 18:14:00",49,12.65,5.417,3.382,37.54,0.68,75.2,0.68,3.8
"2022-01-25 18:15:00",50,12.65,5.301,3.349,37.65,0.72,215.2,0.72,3.7
"2022-01-25 18:16:00",51,12.65,5.187,3.316,37.54,0.65,345.1,0.65,3.7
"2022-01-25 18:17:00",52,12.65,5.076,3.292,37.6,0.26,354.4,0.26,3.7
"2022-01-25 18:18:00",53,12.65,4.966,3.266,37.51,0.67,141.2,0.67,3.6
"2022-01-25 18:19:00",54,12.65,4.858,3.248,37.63,0.45,32.3,0.45,3.4
"2022-01-25 18:20:00",55,12.65,4.752,3.217,37.67,0.73,146.1,0.73,3.5
"2022-01-25 18:21:00",56,12.64,4.648,3.202,37.7,0.34,217.1,0.34,3.5
"2022-01-25 18:22:00",57,12.65,4.545,3.201,37.7,0.63,317.6,0.63,3.4
"2022-01-25 18:23:00",58,12.65,4.445,3.199,37.74,0.25,312.4,0.25,3.3
"2022-01-25 18:24:00",59,12.65,4.346,3.202,37.77,0.48,182.4,0.48,3.3
"2022-01-25 18:25:00",60,12.64,4.247,3.154,37.77,0.22,301.3,0.22,3.4
"2022-01-25 18:26:00",61,12.65,4.151,3.158,37.89,0.07,140.3,0.07,3.4
"2022-01-25 18:27:00",62,12.64,4.055,3.155,37.83,0.44,329,0.44,3.1
"2022-01-25 18:28:00",63,12.64,3.961,3.15,37.85,0.58,23.3,0.58,3.1
"2022-01-25 18:29:00",64,12.64,3.868,3.119,37.85,0.54,338.9,0.54,3.1
"2022-01-25 18:30:00",65,12.64,3.777,3.109,37.85,0.42,327.3,0.42,3.2
"2022-01-25 18:31:00",66,12.64,3.688,3.059,37.85,0.18,228,0.18,3
"2022-01-25 18:32:00",67,12.64,3.6,3.04,37.93,1.18,327.7,1.18,3
"2022-01-25 18:33:00",68,12.64,3.513,3.014,37.96,0.3,326.2,0.3,2.9
"2022-01-25 18:34:00",69,12.64,3.427,2.975,37.84,0.47,331.2,0.47,2.8
"2022-01-25 18:35:00",70,12.64,3.343,2.957,37.87,0.31,39,0.31,2.9
"2022-01-25 18:36:00",71,12.64,3.26,2.918,37.84,1.19,284.1,1.19,2.8
"2022-01-25 18:37:00",72,12.64,3.178,2.881,37.89,0.54,328.7,0.54,2.8
"2022-01-25 18:38:00",73,12.64,3.098,2.845,37.9,1.07,314.8,1.07,3
"2022-01-25 18:39:00",74,12.64,3.02,2.827,37.93,0.15,278.3,0.15,2.8
"2022-01-25 18:40:00",75,12.64,2.943,2.786,37.93,0.16,14.8,0.16,2.6
"2022-01-25 18:41:00",76,12.64,2.866,2.776,37.93,0.13,5.8,0.13,2.7
"2022-01-25 18:42:00",77,12.64,2.791,2.746,37.93,0.62,280.8,0.62,2.7
"2022-01-25 18:43:00",78,12.64,2.717,2.728,37.96,0.35,336.7,0.35,2.5
"2022-01-25 18:44:00",79,12.64,2.644,2.701,37.96,0.74,346.1,0.74,2.6
"2022-01-25 18:45:00",80,12.64,2.573,2.663,37.96,0.87,320.8,0.87,2.7
"2022-01-25 18:46:00",81,12.64,2.504,2.655,38.07,0.68,312.2,0.68,2.2
"2022-01-25 18:47:00",82,12.64,2.436,2.637,38,0.17,148.5,0.17,2.2
"2022-01-25 18:48:00",83,12.64,2.368,2.604,38.01,0.69,317.8,0.69,2.6
"2022-01-25 18:49:00",84,12.64,2.303,2.595,38.05,0.38,277.7,0.38,2.3
"2022-01-25 18:50:00",85,12.64,2.237,2.559,38.04,0.57,11.4,0.57,2.3
"2022-01-25 18:51:00",86,12.64,2.174,2.543,38.09,0.39,266.8,0.39,2.1
"2022-01-25 18:52:00",87,12.64,2.111,2.513,37.99,0.53,319.7,0.53,2
"2022-01-25 18:53:00",88,12.64,2.051,2.485,38,0.61,69.8,0.61,2
"2022-01-25 18:54:00",89,12.64,1.992,2.454,38.06,0.65,358.4,0.65,2.3
"2022-01-25 18:55:00",90,12.64,1.933,2.426,38.06,0.75,323.7,0.75,2.2
