"TOA5","21492","CR1000X","21492","CR1000X.Std.04.02","CPU:Lab2.CR1X","33475","SlowResponse"
"TIMESTAMP","RECORD","AirTC","RH","windSpeed","windDirection","gustWindSpeed","AirTemp"
"TS","RN","Deg C","%","m/s","deg","m/s","degC"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-25 16:51:00",0,22.26227,38.85991,0.01,151.7,0.01,22.4
"2022-01-25 16:52:00",1,22.2732,38.87006,0.02,160.8,0.02,22.4
"2022-01-25 16:53:00",2,22.26272,38.81315,0.04,146.1,0.04,22.4
"2022-01-25 16:54:00",3,22.24461,38.92723,0.02,159.5,0.02,22.4
"2022-01-25 16:55:00",4,22.2414,38.7608,0.01,60.3,0.01,22.5
"2022-01-25 16:56:00",5,22.26727,38.7669,0.05,170.1,0.05,22.5
"2022-01-25 16:57:00",6,22.29066,38.78427,0.06,145,0.06,22.5
"2022-01-25 16:58:00",7,22.26454,38.74191,0.02,37.1,0.02,22.5
"2022-01-25 16:59:00",8,22.23718,38.68064,0.02,152,0.02,22.5
"2022-01-25 17:00:00",9,22.25558,38.6519,0.04,117,0.04,22.5
"2022-01-25 17:01:00",10,22.25191,38.6496,0.02,95,0.02,22.5
"2022-01-25 17:02:00",11,22.26427,38.61609,0.06,28.7,0.06,22.6
"2022-01-25 17:03:00",12,22.24981,38.65557,0.17,289.5,0.17,22.7
"2022-01-25 17:04:00",13,22.2412,38.65125,0.07,67.8,0.07,22.7
"2022-01-25 17:35:00",14,5.362,37.26638,0.82,207.3,0.82,7.6
"2022-01-25 17:36:00",15,5.371986,37.39182,0.32,58.8,0.32,7.9
"2022-01-25 17:37:00",16,5.336395,37.44002,0.64,156.9,0.64,7.2
"2022-01-25 17:38:00",17,5.269142,37.51698,0.26,138.1,0.26,7
"2022-01-25 17:39:00",18,5.210785,37.57802,0.31,47.7,0.31,7.6
"2022-01-25 17:40:00",19,5.110222,37.60305,0.26,213.6,0.26,7.1
"2022-01-25 17:41:00",20,5.088875,37.6582,0.6,268.9,0.6,6.2
"2022-01-25 17:42:00",21,4.987267,37.70238,0.26,60,0.26,6.8
"2022-01-25 17:43:00",22,4.985695,37.71008,0.17,281.4,0.17,6.7
"2022-01-25 17:44:00",23,4.869141,37.82281,0.78,217,0.78,6.5
"2022-01-25 17:45:00",24,4.814278,37.88226,0.16,49.5,0.16,6.4
"2022-01-25 17:46:00",25,4.760185,37.95008,0.9,249.9,0.9,6.1
"2022-01-25 17:47:00",26,4.719948,37.96283,0.22,123.8,0.22,6.2
"2022-01-25 17:48:00",27,4.703384,38.05416,0.13,99.1,0.13,6.7
"2022-01-25 17:49:00",28,4.588081,38.0754,0.59,133.2,0.59,5.8
"2022-01-25 17:50:00",29,4.542839,38.10879,0.15,87.6,0.15,6
"2022-01-25 17:51:00",30,4.500717,38.17858,0.24,86.1,0.24,5.8
"2022-01-25 17:52:00",31,4.416084,38.23981,0.51,114.4,0.51,5.7
"2022-01-25 17:53:00",32,4.35865,38.26068,0.46,241.1,0.46,5.7
"2022-01-25 17:54:00",33,4.344414,38.39482,0.22,60.3,0.22,5.5
"2022-01-25 17:55:00",34,4.283455,38.4383,0.21,231.4,0.21,5.2
"2022-01-25 17:56:00",35,4.190643,38.45118,0.54,157.9,0.54,5.1
"2022-01-25 17:57:00",36,4.106941,38.41882,1.07,297.1,1.07,5
"2022-01-25 17:58:00",37,4.064865,38.48364,0.16,128.3,0.16,5
"2022-01-25 17:59:00",38,4.024048,38.51802,0.39,108.9,0.39,4.9
"2022-01-25 18:00:00",39,4.028481,38.55696,0.16,264.9,0.16,4.7
"2022-01-25 18:01:00",40,3.941559,38.58412,0.97,350.5,0.97,4.5
"2022-01-25 18:02:00",41,3.943626,38.6168,1.05,253,1.05,4.7
"2022-01-25 18:03:00",42,3.894768,38.61466,0.89,182.1,0.89,4.5
"2022-01-25 18:04:00",43,3.888512,38.64625,0.64,160.8,0.64,4.4
"2022-01-25 18:05:00",44,3.882835,38.64678,0.35,239.7,0.35,4.5
"2022-01-25 18:06:00",45,3.834129,38.64541,2.08,226.4,2.08,4.3
"2022-01-25 18:07:00",46,3.833496,38.64494,0.37,186.4,0.37,4.3
"2022-01-25 18:08:00",47,3.814148,38.79074,0.08,113.6,0.08,4.3
"2022-01-25 18:09:00",48,3.789162,38.64843,0.43,179.8,0.43,4.2
"2022-01-25 18:10:00",49,3.742722,38.64822,0.35,147.2,0.35,4.3
"2022-01-25 18:11:00",50,3.697472,38.64859,0.45,105.6,0.45,4
"2022-01-25 18:12:00",51,3.650879,38.6475,0.34,354.4,0.34,4
"2022-01-25 18:13:00",52,3.605415,38.67977,0.45,143.4,0.45,4.1
"2022-01-25 18:14:00",53,3.605278,38.67941,0.43,216.4,0.43,3.9
"2022-01-25 18:15:00",54,3.559982,38.68178,0.21,152.5,0.21,3.9
"2022-01-25 18:16:00",55,3.513596,38.68182,0.05,122.4,0.05,3.7
"2022-01-25 18:17:00",56,3.467964,38.71368,0.41,201.6,0.41,3.7
"2022-01-25 18:18:00",57,3.46859,38.74588,0.68,154.2,0.68,3.8
"2022-01-25 18:19:00",58,3.423523,38.74488,0.42,18.7,0.42,3.7
"2022-01-25 18:20:00",59,3.425034,38.78112,1.44,160.3,1.44,3.6
"2022-01-25 18:21:00",60,3.417976,38.86932,0.34,292.9,0.34,3.6
"2022-01-25 18:22:00",61,3.409401,38.79708,0.8,149.6,0.8,3.7
"2022-01-25 18:23:00",62,3.368103,38.82899,1.06,205.8,1.06,3.6
"2022-01-25 18:24:00",63,3.380524,38.82436,0.78,286,0.78,3.6
"2022-01-25 18:25:00",64,3.323868,38.83392,1.08,206.6,1.08,3.5
"2022-01-25 18:26:00",65,3.311241,38.86967,0.38,331.8,0.38,3.3
"2022-01-25 18:27:00",66,3.273178,38.93404,0.14,263.1,0.14,3.3
"2022-01-25 18:28:00",67,3.240822,38.87454,0.22,251.5,0.22,3.2
"2022-01-25 18:29:00",68,3.196342,38.87852,0.52,192,0.52,3.5
"2022-01-25 18:30:00",69,3.153236,38.91263,0.47,330.8,0.47,3.4
"2022-01-25 18:31:00",70,3.161453,38.89911,0.39,195.6,0.39,3.1
"2022-01-25 18:32:00",71,3.141228,38.95829,0.43,95.9,0.43,3
"2022-01-25 18:33:00",72,3.141113,39.01234,0.48,190.7,0.48,3.1
"2022-01-25 18:34:00",73,3.072868,38.98283,0.14,223.9,0.14,3
"2022-01-25 18:35:00",74,3.021049,38.97293,0.49,177.7,0.49,3.1
"2022-01-25 18:36:00",75,2.973122,39.00988,0.94,90.5,0.94,3
"2022-01-25 18:37:00",76,2.925903,39.00793,0.33,179.7,0.33,3
"2022-01-25 18:38:00",77,2.924622,39.03747,0.22,185.4,0.22,3
"2022-01-25 18:39:00",78,2.878853,39.04065,0.24,288.6,0.24,2.9
"2022-01-25 18:40:00",79,2.836769,39.15479,0.29,184.9,0.29,2.9
"2022-01-25 18:41:00",80,2.789841,39.15913,0.43,162.3,0.43,2.9
"2022-01-25 18:42:00",81,2.80925,39.1535,0.42,208.8,0.42,2.8
"2022-01-25 18:43:00",82,2.765358,39.1886,0.17,109.1,0.17,2.6
"2022-01-25 18:44:00",83,2.765556,39.18422,0.33,75.8,0.33,2.9
"2022-01-25 18:45:00",84,2.693245,39.31566,0.23,255.4,0.23,2.6
"2022-01-25 18:46:00",85,2.694908,39.36068,0.33,136,0.33,2.4
"2022-01-25 18:47:00",86,2.664207,39.18998,0.25,19.5,0.25,2.6
"2022-01-25 18:48:00",87,2.621246,39.24544,0.32,102.4,0.32,2.4
"2022-01-25 18:49:00",88,2.580078,39.28148,0.23,38.7,0.23,2.5
"2022-01-25 18:50:00",89,2.537918,39.30972,0.12,39.5,0.12,2.4
"2022-01-25 18:51:00",90,2.491898,39.30682,0.31,119.9,0.31,2.4
"2022-01-25 18:52:00",91,2.441368,39.33636,0.46,193.1,0.46,2.5
"2022-01-25 18:53:00",92,2.433289,39.36627,0.47,197.8,0.47,2.5
"2022-01-25 18:54:00",93,2.379875,39.39677,0.3,349.5,0.3,2.2
"2022-01-25 18:55:00",94,2.37606,39.40147,0.22,172.4,0.22,2
"2022-01-25 18:56:00",95,2.361259,39.49568,0.23,295.9,0.23,2.3
"2022-01-25 18:57:00",96,2.314804,39.4787,0.09,75.6,0.09,2.2
"2022-01-25 18:58:00",97,2.266876,39.48397,0.36,171.2,0.36,2.3
"2022-01-25 18:59:00",98,2.247406,39.58298,0.62,197.8,0.62,2.1
"2022-01-25 19:00:00",99,2.20311,39.57196,0.3,146.5,0.3,2.1
"2022-01-25 19:01:00",100,2.175125,39.52679,0.06,57,0.06,2.1
"2022-01-25 19:02:00",101,2.159203,39.56137,0.02,212.6,0.02,2
"2022-01-25 19:03:00",102,2.102501,39.59302,0.05,84,0.05,1.6
"2022-01-25 19:04:00",103,2.099998,39.62544,0.33,39.7,0.33,1.5
"2022-01-25 19:05:00",104,2.082748,39.58741,0.06,315.2,0.06,1.5
"2022-01-25 19:06:00",105,2.036278,39.67663,0.18,74.6,0.18,1.5
"2022-01-25 19:07:00",106,1.9888,39.70827,0.11,24.9,0.11,1.6
"2022-01-25 19:08:00",107,1.920502,39.69373,0.25,111,0.25,1.5
"2022-01-25 19:09:00",108,1.874908,39.72109,0.19,226,0.19,1.4
"2022-01-25 19:10:00",109,1.831543,39.75794,0.13,249.7,0.13,1.2
"2022-01-25 19:11:00",110,1.821259,39.85473,0.34,251.5,0.34,1.3
