"TOA5","21489","CR1000X","21489","CR1000X.Std.04.02","CPU:CR1000X_HMP155.CR1X","36239","SlowResponse"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C","AirTC_Avg","RH","windSpeed","windDirection","gustWindSpeed","AirTemp"
"TS","RN","Volts","Deg C","Deg C","%","m/s","deg","m/s","degC"
"","","Min","Smp","Avg","Smp","Smp","Smp","Smp","Smp"
"2022-01-25 17:19:00",0,12.71,22.24,22.04,15.37,-9990,-9990,-9990,24.6
"2022-01-25 17:20:00",1,12.71,22.28,22.06,15.44,0.11,288,0.11,22.5
"2022-01-25 17:21:00",2,12.7,22.31,22.07,15.46,0.09,273,0.09,22.5
"2022-01-25 17:35:00",3,12.72,17.09,6.078,28.02,0.65,227.7,0.65,9.1
"2022-01-25 17:36:00",4,12.72,16.61,5.887,28.54,0.22,232.9,0.22,9.4
"2022-01-25 17:37:00",5,12.72,16.23,5.692,29.06,0.61,206.7,0.61,8.3
"2022-01-25 17:38:00",6,12.72,15.93,5.493,29.52,0.12,75.5,0.12,9
"2022-01-25 17:39:00",7,12.72,15.67,5.317,29.94,0.39,152.3,0.39,8.7
"2022-01-25 17:40:00",8,12.72,15.43,5.203,30.37,0.86,189.4,0.86,7.7
"2022-01-25 17:41:00",9,12.71,15.2,5.07,30.7,0.61,276.1,0.61,8.9
"2022-01-25 17:42:00",10,12.72,14.98,4.974,31.05,0.26,187.1,0.26,7.7
"2022-01-25 17:43:00",11,12.72,14.76,4.882,31.38,0.41,63.1,0.41,8
"2022-01-25 17:44:00",12,12.72,14.53,4.807,31.67,0.16,110.4,0.16,7.9
"2022-01-25 17:45:00",13,12.72,14.31,4.747,31.93,0.35,348.7,0.35,8.1
"2022-01-25 17:46:00",14,12.72,14.08,4.711,32.24,0.74,219.9,0.74,7.8
"2022-01-25 17:47:00",15,12.72,13.85,4.666,32.44,0.19,105.5,0.19,7.2
"2022-01-25 17:48:00",16,12.72,13.61,4.61,32.71,0.6,198.7,0.6,7.5
"2022-01-25 17:49:00",17,12.72,13.38,4.56,32.91,0.03,14.1,0.03,6.6
"2022-01-25 17:50:00",18,12.72,13.15,4.49,33.16,0.51,321.5,0.51,6.7
"2022-01-25 17:51:00",19,12.72,12.92,4.436,33.43,0.28,223.1,0.28,7.4
"2022-01-25 17:52:00",20,12.71,12.7,4.366,33.68,0.06,41.8,0.06,6.9
"2022-01-25 17:53:00",21,12.72,12.47,4.325,33.85,0.16,171.7,0.16,6.4
"2022-01-25 17:54:00",22,12.72,12.25,4.283,34.05,0.28,252.6,0.28,6.6
"2022-01-25 17:55:00",23,12.71,12.02,4.225,34.19,0.42,127.9,0.42,6.3
"2022-01-25 17:56:00",24,12.71,11.81,4.184,34.37,0.72,252.7,0.72,6.5
"2022-01-25 17:57:00",25,12.71,11.59,4.148,34.62,0.87,240.7,0.87,5.7
"2022-01-25 17:58:00",26,12.71,11.38,4.108,34.59,0.13,27.4,0.13,6.1
"2022-01-25 17:59:00",27,12.71,11.17,4.07,34.58,0.82,201.1,0.82,5.3
"2022-01-25 18:00:00",28,12.71,10.97,4.033,34.72,0.39,265.2,0.39,5.9
"2022-01-25 18:01:00",29,12.71,10.77,3.979,34.75,0.58,91.6,0.58,5.5
"2022-01-25 18:02:00",30,12.71,10.57,3.967,34.64,0.35,138.2,0.35,5.4
"2022-01-25 18:03:00",31,12.71,10.37,3.943,34.37,0.45,87.9,0.45,5.4
"2022-01-25 18:04:00",32,12.71,10.19,3.925,34.23,0.53,106.9,0.53,5
"2022-01-25 18:05:00",33,12.71,10,3.921,34.18,0.55,332.2,0.55,5.2
"2022-01-25 18:06:00",34,12.71,9.82,3.88,34.1,0.62,116.9,0.62,5.1
"2022-01-25 18:07:00",35,12.71,9.64,3.861,34.16,0.54,276.6,0.54,5
"2022-01-25 18:08:00",36,12.71,9.47,3.838,34.26,0.23,357.2,0.23,4.8
"2022-01-25 18:09:00",37,12.71,9.3,3.822,34.31,0.18,203.6,0.18,5
"2022-01-25 18:10:00",38,12.71,9.13,3.791,34.39,0.75,223.5,0.75,4.8
"2022-01-25 18:11:00",39,12.71,8.97,3.75,34.45,0.82,68.9,0.82,4.4
"2022-01-25 18:12:00",40,12.71,8.8,3.713,34.48,0.65,76.7,0.65,4.5
"2022-01-25 18:13:00",41,12.71,8.65,3.669,34.55,1.14,265.5,1.14,4.5
"2022-01-25 18:14:00",42,12.71,8.49,3.651,34.57,0.17,191,0.17,4.5
"2022-01-25 18:15:00",43,12.71,8.34,3.648,34.61,1.06,251,1.06,4.4
"2022-01-25 18:16:00",44,12.71,8.19,3.617,34.72,0.34,273.6,0.34,4.2
"2022-01-25 18:17:00",45,12.71,8.04,3.595,34.75,0.39,103.5,0.39,4
"2022-01-25 18:18:00",46,12.71,7.903,3.558,34.85,0.28,278,0.28,4.1
"2022-01-25 18:19:00",47,12.71,7.764,3.532,34.93,0.18,161.3,0.18,4.2
"2022-01-25 18:20:00",48,12.71,7.629,3.481,35.1,0.44,254.3,0.44,3.9
"2022-01-25 18:21:00",49,12.71,7.497,3.466,35.17,0.34,17.9,0.34,4
"2022-01-25 18:22:00",50,12.71,7.369,3.471,35.28,0.69,207.8,0.69,3.9
"2022-01-25 18:23:00",51,12.71,7.244,3.45,35.33,0.3,11.8,0.3,3.8
"2022-01-25 18:24:00",52,12.71,7.12,3.422,35.33,0.76,202.7,0.76,4
"2022-01-25 18:25:00",53,12.71,7,3.425,35.33,0.18,228,0.18,3.9
"2022-01-25 18:26:00",54,12.71,6.882,3.41,35.44,0.32,314.7,0.32,3.8
"2022-01-25 18:27:00",55,12.71,6.766,3.375,35.49,0.16,325.4,0.16,3.7
"2022-01-25 18:28:00",56,12.71,6.653,3.367,35.56,0.13,242.9,0.13,3.4
"2022-01-25 18:29:00",57,12.71,6.541,3.306,35.59,0.3,184.2,0.3,3.6
"2022-01-25 18:30:00",58,12.71,6.43,3.283,35.7,0.72,285.6,0.72,3.6
"2022-01-25 18:31:00",59,12.71,6.32,3.279,35.72,0.23,308.1,0.23,3.4
"2022-01-25 18:32:00",60,12.71,6.211,3.235,35.86,0.15,292.1,0.15,3.3
"2022-01-25 18:33:00",61,12.71,6.103,3.187,35.95,0.18,291.8,0.18,3.3
"2022-01-25 18:34:00",62,12.71,5.996,3.153,36.05,0.23,34.9,0.23,3.3
"2022-01-25 18:35:00",63,12.71,5.89,3.116,36.18,0.55,328.8,0.55,3.3
"2022-01-25 18:36:00",64,12.71,5.784,3.077,36.31,0.36,321.8,0.36,3
"2022-01-25 18:37:00",65,12.71,5.68,3.039,36.38,0.59,83.3,0.59,3.3
"2022-01-25 18:38:00",66,12.71,5.576,3.015,36.5,0.16,79.6,0.16,3.1
"2022-01-25 18:39:00",67,12.71,5.474,3.015,36.54,0.34,242,0.34,3.1
"2022-01-25 18:40:00",68,12.71,5.374,3.009,36.58,0.13,164.5,0.13,3.1
"2022-01-25 18:41:00",69,12.71,5.276,3.007,36.57,0.32,211.6,0.32,3.1
"2022-01-25 18:42:00",70,12.71,5.179,3.01,36.54,0.22,169.4,0.22,3.2
"2022-01-25 18:43:00",71,12.71,5.084,3.018,36.62,0.11,258,0.11,2.8
"2022-01-25 18:44:00",72,12.71,4.99,3.015,36.68,0.31,338.9,0.31,3
"2022-01-25 18:45:00",73,12.71,4.898,3.018,36.63,0.1,124.3,0.1,2.9
"2022-01-25 18:46:00",74,12.71,4.807,3.011,36.57,0.31,290.6,0.31,2.6
"2022-01-25 18:47:00",75,12.7,4.717,2.984,36.57,0.3,316.1,0.3,2.6
"2022-01-25 18:48:00",76,12.71,4.628,2.904,36.72,0.32,291.2,0.32,2.5
"2022-01-25 18:49:00",77,12.71,4.539,2.845,36.93,0.68,324.8,0.68,2.8
"2022-01-25 18:50:00",78,12.71,4.451,2.776,37.06,0.31,47.8,0.31,2.6
"2022-01-25 18:51:00",79,12.71,4.365,2.736,37.31,0.37,84.9,0.37,2.5
"2022-01-25 18:52:00",80,12.71,4.279,2.713,37.33,0.35,17.9,0.35,2.5
